brand_name,product_category,total_ads_visible,dominant_hook_type,dominant_ad_format,best_hook_verbatim,body_copy_formula,headline_variants,dominant_cta,unique_creative_angle,top_swipe_element,creative_quality_score,key_framework_insight,video_image_ratio,page_accessible
Gutsi,Gut wellness monitor,3,Mixed,Video,You heard it here first. Gutsi is a gut wellness monitor that sits on your toilet rim and tracks your gut patterns after every flush. Passively. Automatically. No effort required.,"The ads generally follow a pattern of: 1. Introduce the problem/curiosity. 2. Introduce Gutsi as the solution/answer. 3. Explain how it works (passively, automatically, no effort). 4. Call to action (""Curious? Find out more 👇"").",1. Whoop For Your Poop | 2. Gutsi Street Reaction | 3. Why Gutsi,Learn more,"The brand's ads are distinctive due to the unique nature of the product (a toilet rim gut wellness monitor) and their approach to introducing it through a mix of direct explanation, curiosity-driven narratives, and social proof via street interviews.","The use of street interviews to introduce a novel product and gauge public reaction, creating curiosity and social proof.",8.0,Leveraging the novelty of a product through direct explanation and curiosity-driven social proof can be highly effective in initial ad campaigns.,,True
IM8 Health,Health Supplements,15,Mixed,Mixed,"Most people won't feel this good in their 30s, 40s, or 50s. You can.","Problem/Solution -> Product Features/Benefits (clinically dosed, NSF certified, replaces multiple supplements) -> Offer/Guarantee (free welcome kit, money-back guarantee, discount)",1. [Problem/Benefit-Oriented] | 2. [Social Proof/Authority] | 3. [Direct Offer/Call to Action],Learn More,"IM8 Health's unique creative angle lies in its heavy reliance on high-profile celebrity and expert endorsements, combined with a strong emphasis on scientific validation (clinically dosed, NSF certified) and the convenience of an 'all-in-one' supplement. They also frequently use a 'problem-solution' approach, addressing common health concerns and positioning their product as the comprehensive answer.","The use of celebrity and expert testimonials (Giannis Antetokounmpo, David Beckham, Aryna Sabalenka, Dr. Dawn Mussallem) to build trust and authority.",8.5,"Leveraging celebrity and expert endorsements, combined with strong scientific backing and clear benefit-driven copy, significantly enhances ad credibility and appeal.",,True
Liquid I.V.,Hydration Supplements,39,Problem Agitation / Demo/How-It-Works,Video (UGC Talking Head / Product Demo),"New Liquid I.V. Sugar Free supports your daily hydration. All the flavour, none of the sugar.","Problem/Solution (hydration, sugar-free) followed by product benefits and call to action. Many ads feature influencers in 'The Hot Seat' series.","1. New Liquid I.V. Sugar Free | 2. Daily hydration, with zero sugar | 3. Hydrate better than water alone",Shop Now / Learn More,"Extensive use of influencer-led video series ('The Hot Seat') to showcase product benefits and engage audiences in an entertaining, authentic way.","The 'The Hot Seat' influencer interview series, which combines entertainment with product integration.",8.5,"Leveraging influencer content in a series format ('The Hot Seat') creates engaging, long-form video ads that build brand personality and demonstrate product use in relatable scenarios.","90% video, 10% image",True
Obvi,Collagen-infused weight management supplements,210,Problem Agitation,Mixed,"""With over 1,000,000+ units sold, the world's FIRST collagen-infused weight management product is finally back in stock! 🙌""","Problem/Solution (Weight management, hair/skin/nails issues) -> Product Introduction (Collagen-infused) -> Benefit List (Healthy Weight Management, Curbs Appetite, Boosts Metabolism) -> Ingredient List (Patented, Natural, Collagen Types) -> Social Proof/Testimonial -> Risk Reversal (90-Day Money Back Guarantee) -> Call to Action.",1. The World's First Collagen Infused Fat Burner | 2. Special Offer Available Today! 🎁 | 3. Tired of feeling sluggish and watching your metabolism slow down?,Shop now,,"The structured problem-solution-benefit-proof-risk reversal copy formula, consistently used across multiple ads.",8.5,"Leveraging strong social proof (units sold, number of women helped) combined with clear benefit-driven copy and risk reversal (money-back guarantee) is highly effective for health supplements. The use of emojis and bullet points also enhances readability and highlights key features.","60% video, 40% image",True
Olipop,Healthy Prebiotic Soda,30,Curiosity Gap,Static Image,💜 Blackberry Vanilla Lavender Cream Soda 💜 6 blackberries .,"Focus on benefits like ‘refreshing soda that’s actually good for you’ and product features, often including recipe ideas or lifestyle integration. They also highlight new packaging and nostalgic flavors, and sometimes target B2B with sales pitches.",1. Flavor in full bloom | 2. The drop of the summer | 3. A New Kind of Soda,Shop Now,"Olipop leverages a vibrant, aesthetic brand image combined with a strong emphasis on digestive health benefits and natural ingredients, positioning itself as a healthier alternative to traditional soda. They frequently use recipe-style content, highlight product availability in major retailers, and emphasize nostalgic flavors with modern twists.","The use of bright, appealing visuals featuring the product in lifestyle settings (e.g., picnic, recipe preparation) or highlighting new packaging and nostalgic flavors, effectively communicates both taste and health benefits and creates a strong brand identity.",8.8,"High-converting ads for health-conscious beverages effectively combine appealing visual aesthetics with clear communication of functional benefits (e.g., digestive health, low sugar), strategic partnerships (e.g., Costco), and emotional appeals through nostalgia and lifestyle integration to differentiate from competitors and drive purchase intent.","43% video, 57% image",True
Absolute Collagen,Collagen Supplement,7,Mixed,Mixed,Ageing isn’t the problem – losing collagen is.,"Problem-solution framework, often starting with a personal testimony or social proof, followed by product benefits and features, and ending with a clear call to action.",1. Age Powerfully | 2. Results in 6 weeks | 3. Free gift worth £134,Learn More,"Focus on the 'Absoluter community' and framing collagen loss as the core problem, rather than just aging, with a strong emphasis on clinical proof and tangible results.","Personal testimonials with quantifiable results and strong social proof (e.g., 'Over 3500 Reviews!').",8.5,"Leveraging a combination of problem-agitation, personal testimony, and social proof in ad hooks is highly effective for collagen supplements. Highlighting specific, measurable benefits (e.g., 'in 6 weeks') and offering incentives (e.g., 'free gift') drives engagement.",,True
Seed,Probiotics,5,Mixed,Mixed,"The number one cause of bad breath in dogs is not what they ate, it's not lack of brushing, and it's definitely not because they need another breath treat.","Narrative-driven copy, often starting with a personal story or problem, followed by a detailed explanation of the product's scientific benefits and a call to action.",1. Seed | 2. BobbyParrish with Seed | 3. Dr. Simon Ashford-Functional Medicine,Shop now,Combining scientific rigor with relatable personal health journeys to educate and persuade.,"The use of detailed, long-form narrative copy that educates the reader about the problem and solution before presenting the product.",8.5,Leveraging scientific authority and personal testimonials to build trust and explain complex product benefits is highly effective.,"0% video, 0% image",True
Moon Juice,Health/Supplements,10,Problem Agitation,UGC Talking Head,"""Summer pregnancy? Mini Dew provides essential minerals and electrolytes that hydrate deeper than water alone.""",Problem/Question or Direct Benefit -> Product Introduction -> Key Ingredients/Mechanism -> Desired Outcome,1. Sleepy Magnesi-Om 🍒 | 2. Mini Dew™ is 2 in 1: electrolytes + minerals for hydration and brain function. | 3. Mini Dew,Shop Now,"Focusing on specific life stages or conditions (e.g., 'Summer pregnancy', 'Drinking for two') to position a general hydration product as a targeted solution.","Using specific, relatable questions as hooks ('Summer pregnancy?') to immediately qualify the audience and introduce the product as the answer.",8.0,Niche down your broad appeal products by calling out specific audience segments or situations in the hook to increase relevance and conversion.,"62% video, 37% image",True
Jones Road Beauty,Clean Beauty Makeup,4800,Problem Agitation,UGC Talking Head,"Tired of sunscreen that pills, slides, or leaves your skin looking chalky?","Problem-solution followed by product benefits and features, often incorporating personal testimonials or celebrity endorsements.",1. Dewy Skin Made Easy | 2. My 2-Step Glow Routine | 3. Miracle Balm: Available Everywhere in the EU,Shop Now,"Authentic, minimalist 'no-makeup makeup' aesthetic championed by founder Bobbi Brown, focusing on natural enhancement and ease of use, often featuring real people and clear product demonstrations.",Short-form video testimonials from influencers and the founder demonstrating product application and immediate results.,8.5,"Leveraging authentic testimonials from influencers and the brand founder, combined with clear problem-solution framing, drives strong engagement and communicates product efficacy effectively.","80% video, 20% image",True
Glossier,Beauty/Skincare,11,Mixed,Mixed,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,"Focus on product features, benefits, and promotional offers, often emphasizing individuality and customization.","1. One iconic scent, doubled | 2. Build your own set with the pieces you love most. | 3. Save 20% on all fragrances! Shop your signature scent on sale.",Shop Now,"Focus on natural beauty, personalization, and a minimalist aesthetic, often highlighting product benefits through subtle, aspirational language.",The emphasis on individuality and personal experience with products.,7.5,"Leverage product uniqueness and personalization to create desire, combined with clear promotional offers.",,True
Hismile,Teeth Whitening/Oral Care,265,Mixed,Mixed,Did you see that?! 😱 Standard Mouthwash? A lot take one approach. 🙃 iD Stain Whitening Mouthwash takes THREE 😳,Problem/Question -> Product Introduction + Multi-Benefit/Feature List (with emojis) -> Quick Result/Urgency -> Call to Action.,1. [Product Name] 😱 | 2. [Benefit/Question] 🤯 | 3. [Urgency/Exclusivity] 🔥,Shop Now,"Hismile's ads are distinctive due to their consistent use of emojis to convey emotion and highlight benefits, a strong emphasis on 'gunk removing' and 'color correcting' as unique selling propositions, and a blend of user-generated content (UGC) style videos with clear product demonstrations.",The use of emojis in both headlines and body copy to highlight benefits and create emotional resonance.,8.5,"Hismile effectively uses a combination of problem agitation, curiosity, and social proof in their hooks, followed by clear multi-benefit lists and strong calls to action, often leveraging emojis and visual demonstrations to enhance engagement and perceived product efficacy.",,True
Bambu Earth,Skincare,100,Mixed,Video,What’s in your skincare matters. What’s NOT in your skincare matters more.,"Problem-solution framework: Start with a problem (what's NOT in your skincare), introduce the brand as the solution, list benefits, and include social proof/testimonials.","1. Experience glowing skin | 2. Experience your healthiest skin | 3. Try it for just $29
All-Natural Skincare — Gentle, effective, and ethically sourced. Powered by plants, not synthetics. Nourishes without irritation for healthy, balanced skin.",Shop now,"Focus on 'clean' ingredients and what's *not* in the product, emphasizing natural and effective skincare with a barrier-first approach.",The 'What's in your skincare matters. What's NOT in your skincare matters more.' opening line and the use of checkmarks for benefits.,8.5,"Leveraging a 'problem-agitation-solution' framework with a strong emphasis on 'clean' ingredients and what's excluded from products, combined with social proof, drives engagement.","55% video, 45% image",True
Laundry Sauce,Premium Laundry Detergents/Pods,390,Mixed,Mixed,"It sold out for a reason. Himalayan Cashmere is back — and this time, stock up.","The ads typically start with a strong hook (social proof, scarcity, or curiosity), introduce a specific product/scent, highlight its luxurious benefits, and often create urgency around limited availability or restocks.",1. Himalayan Cashmere: BACK IN STOCK 😍 | 2. Australian Sandalwood Is BACK 🚨 | 3. Elevate Your Laundry Day,Shop Now,"Laundry Sauce distinguishes itself by focusing on luxury scents and an elevated laundry experience, moving beyond basic cleaning. They effectively use scarcity and 'back in stock' announcements to create demand.","The 'BACK IN STOCK' messaging combined with scarcity and urgency (e.g., 'sold out for a reason', 'internet couldn't get enough').",8.5,"Leveraging scarcity and social proof for product restocks, combined with luxury positioning, drives high conversion rates.",,True
HexClad,Cookware,60,Mixed,Video,"""Ready for cookware that brings unmatched performance in the kitchen?""","Problem/Question hook -> Feature list (hybrid tech, non-stick, lifetime warranty) -> Social proof (Gordon Ramsay, 900k+ cooks) -> CTA","1. The Essentials Bundle | 2. HexClad Hybrid Pot Set 6 PC | 3. Hybrid Wok, 12\""",Shop Now,"Hybrid cookware combining stainless steel, cast iron, and non-stick properties.",The 'hybrid' mechanism explanation: combining stainless steel searing with non-stick convenience.,8.5,Leverage a unique mechanism ('hybrid technology') to solve a common compromise (searing vs. easy cleanup) and back it with strong authority proof (Gordon Ramsay).,"70% video, 30% image",True
Brooklinen,"Home Goods (Bedding, Bath)",30,Social Proof,Static Image,"What can we say? With over 12 years of award-winning, fan-favorite bedding (and bath), it’s time to get in bed with the experts.","Ads often start with a relatable statement about comfort and quality, introduce the product as a solution, highlight benefits like softness or reviews, and end with a direct call to action.","The Best in Bed for 12 Years and Counting | Meet Soft, Smooth, Irresistible New Luxier Luxe Sheets | Not Just for Breakfast",Shop Now,"Focus on comfort, quality, and a luxurious lifestyle through aspirational imagery and direct benefit-driven copy.","The use of social proof (e.g., '150k 5-star reviews') combined with direct, benefit-oriented headlines.",8.5,"Leverage strong social proof and direct, sensory language to convey product benefits, especially for comfort-focused products. Utilize a mix of static images and short videos to showcase product aesthetics and features.","20% video, 80% image",True
Omni Creatine,Creatine Gummies,640,Problem Agitation,Mixed,"OMNI Creatine Gummies are third-party tested and proven to pack pure creatine monohydrate to boost energy, mental clarity and lean muscle — without any bloating or puffiness","Product introduction/benefit statement, followed by a strong offer, website link, product feature reinforcement, risk reversal, and a final call to action.",1. Creatine Made Delicious 🍉 🍑 | 2. Try 30 Days Risk-Free | 3. Get 47% OFF + FREE Shipping Today!,Shop Now,"The unique creative angle is making creatine consumption palatable and convenient through gummies, combined with strong scientific backing ('third-party tested and proven') and a focus on avoiding common side effects like bloating.",The 'Get 47% OFF + FREE Shipping Today! 👇' offer with the down arrow emoji.,8.0,"Combining clear product benefits with strong, time-sensitive offers and risk reversal (e.g., '30 Days Risk-Free') is highly effective. Highlighting convenience and palatability for supplements can differentiate a product in a competitive market.",,True
PetLab Co.,"Pet Health Supplements (Dental, Gut, Allergy, Joint)",15,Problem Agitation,Product Demo,Bad breath. Yellow buildup. Hating the toothbrush. These aren’t quirks- they’re warning signs 👀,"Problem identification and agitation, followed by introduction of a simple, science-backed solution (chew/powder) to address the problem.","1. [Problem] - These aren't quirks, they're warning signs. | 2. The unexpected consequences of NOT cleaning your dog's teeth daily | 3. Your dog's weird need to eat grass could be a red flag...",Learn more,,"The use of a 'dog mom' or 'veterinarian' avatar to deliver problem-solution narratives, enhancing relatability and authority.",8.5,"PetLab Co. effectively uses problem-agitation hooks combined with educational content (often in video format) to highlight common pet health issues and position their products as easy, science-backed solutions.","90% video, 10% image",True
True Classic,Men's Apparel (T-shirts),8,Problem Agitation,Mixed (Video and Static Image),"""Baggy, scratchy, overpriced? Skip it. True Classic tees are tailored to flatter, soft from day one!""","Problem-solution framework, addressing common pain points with t-shirts (baggy, scratchy, overpriced) and positioning True Classic as the superior solution (tailored, soft, flattering).","1. Look Good. Feel Good | 2. Best fitting tee of all time. | 3. Baggy, scratchy, overpriced? Skip it.",Shop Now,"Focus on flattering fit and comfort for men's t-shirts, directly contrasting with common issues like 'baggy' or 'scratchy' that other brands might overlook. The emphasis on 'tailored to flatter' is a strong differentiator.","The direct address of common pain points ('Baggy, scratchy, overpriced?') as a hook.",8.5,Highlighting common frustrations with competitor products and directly addressing them with product benefits is highly effective. Visuals demonstrating fit and quality reinforce the message.,"75% video, 25% image",True
The Ridge,Minimalist Wallets & Everyday Carry,10,Problem Agitation,Mixed,"Inspired by the Japanese art of Kintsugi, our latest drop brings cracked-beautiful patterns to your everyday essentials.","The body copy often starts with a product feature or a problem statement related to traditional wallets, followed by how Ridge Wallet solves it, and then lists benefits like durability, slimness, and RFID blocking. Some ads also highlight limited editions or savings.",1. Upgrade Your Wallet | 2. Streamline Your Everyday Carry | 3. Slim. Secure. Built to last.,Shop Now,"The brand consistently focuses on the 'minimalist' and 'secure' aspects of their wallets, often contrasting them with traditional bulky wallets. They also leverage limited edition drops and design aesthetics (like Kintsugi) to create desire beyond pure utility.","The consistent use of 'Shop Now' CTA across various product offerings, combined with clear benefit-driven headlines.",8.0,"High-converting ads for Ridge Wallet consistently agitate the problem of bulky, insecure traditional wallets and position Ridge as the modern, minimalist solution, emphasizing durability and RFID protection.","60% video, 40% image",True
Hears_Earplugs,Earplugs,8800,Curiosity Gap,Product Demo,"Stylish Earplugs with Patented & Innovative Filters for Parties, Festivals, and Other Loud Events","Problem-solution-benefit structure, often starting with a relatable problem, introducing Hears as the solution, and detailing benefits with social proof elements. Emphasizes product features, design, and awards.","1. Stylish Earplugs with Patented & Innovative Filters for Parties, Festivals, and Other Loud Events | 2. 🔊 Going to a loud event? Hears eliminates the damaging noise. While preserving the clarity of music. | 3. It started with a beep that never stopped.",Shop Now,"Focus on preserving music quality and social experience while protecting hearing, emphasizing discreet design and award-winning technology, differentiating from generic foam earplugs. Often uses a founder story or problem-solution narrative.","The use of relatable problem agitation hooks (e.g., 'Love the party vibes, hate the ear pain?') followed by a clear, elegant solution, and reinforced by social proof (awards, ratings).",8.5,"Hears effectively leverages problem-solution narratives, highlighting the pain points of loud environments and offering a sophisticated, effective solution. Strong emphasis on quality, design, and social proof (awards, ratings) builds trust and desirability. The founder's story adds a personal touch.","80% video, 20% image",True
Wuffes,"Dog Supplements (Hip & Joint, Calming, Gut Health)",2400,Problem Agitation,UGC Talking Head,"It starts small. Shorter walks, less excited for playtime, awkward when standing up 💔🐕",Problem Agitation (It starts small... joint discomfort creeping in) + Solution (Wuffes Vet-Backed Hip & Joint chew) + Offer/Urgency (FREE Labor Day Gift! Stock is going fast) + Call to Action (Don't let joint issues steal your dog's joy),1. Help your dog feel themselves again 🐶 | 2. Better Joints in 90 Days Guaranteed | 3. Shop Wuffes at Petco,Shop now,"Focusing on the subtle, emotional signs of joint discomfort (shorter walks, less excitement) rather than just clinical facts, making the problem highly relatable to pet owners.","The emotional hook 'It starts small. Shorter walks, less excited for playtime, awkward when standing up 💔🐕' that perfectly captures the subtle signs of aging/joint issues pet owners worry about.",8.0,"Using emotional problem agitation (""It starts small. Shorter walks..."") combined with a strong guarantee (""Better Joints in 90 Days Guaranteed"") and clear discount/offer URLs (WUFFES.COM/SAVE50%) drives high engagement for pet health products.","90% video, 10% image",True
Tractive,Pet GPS Tracker,23,Problem Agitation,Video,"Mis perros están entrenados, son obedientes y aun así llevan su GPS porque siguen siendo perros Porque un localizador no es solo para si se escapan también es para disfrutar con tranquilidad de nue...","Focuses on problem agitation (pet safety, losing pets) and solution (Tractive GPS) with social proof/influencer endorsements and discount offers.","1. 40% de descuento en el localizador que elijas haciendo click en el enlace de mi perfil con el cd... | 2. Auch der gehorsamste Hund kann pltzlich weg sein. | 3. (Link en bio) NOVEDAD Versin 2.0 del @tractive para mascotas  Ya era genial, pero ahora es mejor!",Shop Now,"Leverages influencer endorsements (e.g., dog trainers, vets) to build trust and demonstrate product utility in real-life scenarios, often highlighting the emotional aspect of pet safety.",Influencer testimonials and discount codes embedded directly in the ad copy.,7.5,"Utilizing credible third-party endorsements (influencers) significantly enhances trust and conversion, especially when combined with direct offers.","61% video, 39% image",True
Eight Sleep,Smart Sleep System / Mattress Cooling System,1600,Problem Agitation,Static Image,"The Pod is clinically proven to deliver real results for your sleep, every night: Up to 44% less time to fall asleep, Up to 34% more deep sleep, Up to 45% reduction in snoring, Up to 23% fewer night wake ups","Focus on clinical results (quantifiable improvements in sleep metrics), risk-free trial (30 nights), and the core benefit of temperature regulation (cooling/heating). Often uses bullet points for easy reading.","1. Try Pod 5 for 30 Nights Risk-Free: The Best Sleep You've Ever Had | 2. Pod 5: Designed For Deep Sleep, Personalized To You | 3. Sleep At The Temperature You Want With Pod 5: No More Thermostat Wars",Shop Now,"Focuses heavily on scientific, quantifiable benefits of sleep improvement and temperature regulation, using clinical data points rather than just subjective testimonials.","Clear, bulleted presentation of clinical results (e.g., 'Up to 34% more deep sleep') immediately following the hook, paired with a prominent risk-free trial offer.",8.5,"Highlighting quantifiable, clinically proven benefits (e.g., specific percentages for sleep improvement) combined with a strong risk-free trial offer is highly effective for premium health/wellness products.","30% video, 70% image",True
Halara,"Activewear/Fashion (Dresses, Leggings, Apparel)",30,Mixed,Static Image,No specific best hook identified without deeper content analysis.,"Ads generally start with a benefit-oriented statement, followed by product features/use cases, and end with a call to action or urgency. Example: [Benefit] + [Features/Use Cases] + [CTA/Urgency]",1. [Product Name] - [Benefit] | 2. [Discount/Offer] - [Product Category] | 3. [Feature] for [Occasion],Shop Now,"Halara focuses on combining fashion and function, emphasizing comfort, style, and versatility for various activities. Their ads often feature vibrant colors and diverse body types.","The use of emojis (🦋🧡💋👇✨🥰) to break up text and add visual appeal, along with clear calls to action and product-in-use visuals.",7.5,"High-converting ads for activewear brands like Halara leverage strong visual appeal, highlight both fashion and function, and use clear, benefit-driven copy with direct calls to action.","43% video, 57% image",True
Ekster,Smart Wallets & Travel Accessories,10,Mixed,Mixed,"""This is the Tesla of wallets.""","Problem/Bold statement -> Product as solution -> Bullet points of features/benefits -> Social proof (reviews, awards) -> Call to action.",1. [Benefit-driven] | 2. [Problem Agitation] | 3. [Social Proof/Urgency],Shop Now,"Ekster's ads consistently position their products as innovative, high-tech solutions to common problems (e.g., bulky wallets, limited packing space), often using strong analogies like 'Tesla of wallets' and emphasizing trackability and modularity.","The use of concise, benefit-driven bullet points with checkmarks (✅) or emojis (💥) to highlight key features and advantages.",8.5,"Ekster effectively uses a combination of problem-agitation and curiosity-gap hooks, immediately followed by strong social proof and clear benefit-driven bullet points to drive conversions.","80% video, 20% image",True
